curve,decoderMode,snrDb,bitErrors,frameErrors,totalBits,totalFrames,ber,fer
ideal log-MAP / BCJR,ideal_logmap,0,541,24,76800,24,0.00704427083333333,1
ideal log-MAP / BCJR,ideal_logmap,0.5,276,24,76800,24,0.00359375,1
ideal log-MAP / BCJR,ideal_logmap,1,174,24,76800,24,0.002265625,1
ideal log-MAP / BCJR,ideal_logmap,1.5,86,23,76800,24,0.00111979166666667,0.958333333333333
ideal log-MAP / BCJR,ideal_logmap,2,61,24,76800,24,0.000794270833333333,1
ideal log-MAP / BCJR,ideal_logmap,2.5,56,22,76800,24,0.000729166666666667,0.916666666666667
floating max-log,floating,0,542,24,76800,24,0.00705729166666667,1
floating max-log,floating,0.5,277,24,76800,24,0.00360677083333333,1
floating max-log,floating,1,169,24,76800,24,0.00220052083333333,1
floating max-log,floating,1.5,94,23,76800,24,0.00122395833333333,0.958333333333333
floating max-log,floating,2,61,24,76800,24,0.000794270833333333,1
floating max-log,floating,2.5,55,22,76800,24,0.000716145833333333,0.916666666666667
RTL-style fixed radix-4/windowed,rtl_fixed,0,785,24,76800,24,0.0102213541666667,1
RTL-style fixed radix-4/windowed,rtl_fixed,0.5,392,24,76800,24,0.00510416666666667,1
RTL-style fixed radix-4/windowed,rtl_fixed,1,247,24,76800,24,0.00321614583333333,1
RTL-style fixed radix-4/windowed,rtl_fixed,1.5,114,23,76800,24,0.001484375,0.958333333333333
RTL-style fixed radix-4/windowed,rtl_fixed,2,65,23,76800,24,0.000846354166666667,0.958333333333333
RTL-style fixed radix-4/windowed,rtl_fixed,2.5,41,23,76800,24,0.000533854166666667,0.958333333333333
